Tracking Number,Accession Number,Catalog Number,Family,Genus,Subgenus,Species,Subspecies,Stage,Author,Year,Specimen Number,Collecting Method,Continent,Ocean,Sea/Gulf/Strait,Lake/Pond/Reservoir,Bay/Harbor/Sound,River/Creek,Stream,Mountain Range,Mountain,Island Group,Island,Notes: Locality,Notes: Country,Country,MISCELLANEOUS,Department / Province / State,County,City/Town/Hamlet,Specific Locale,Macro Habitat,Micro Habitat ,Substrate,Temp C,decimal latitude,decimal longitude,Latitude (from),Lat (from) NS,Latitude (to),Lat NS  (to),Longitude (from),Long (from) EW,Longitude   (to) ,Long EW  (to),Elevation from (m),Elevation to (m),Elevation from (f),Elevation to (f),Depth (f) start,Depth (f) end,Depth (m) start,Depth (m) end,Fathoms,Collector,Date Collected,Collection,Donation Date,Notes,Type,Preservation Type,Publication,Collection2
180,9546,238992,Aporrhaidae,Aporrhais,,pespelecani,,,Linnaeus,1758,3,,,,Mediterranean Sea,,,,,,,,,,,Algeria,,"Alger,",,,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,John H. Bernard,30-Dec-86,Trawled at 60 fathoms.,,,,John H. Bernard Gift
182,9546,239273,Turridae,Turrisw,,undatirugosa,,,Bivona,1832,1,,,,Mediterranean Sea,,,,,,,,,,,Algeria,,"Alger,",,,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,John H. Bernard,30-Dec-86,Trawled at 90 meters.,,,,John H. Bernard Gift
187,9853,288111,Nassariidae,Cyclope,,neritea,,,Linne,1758,5,,,,Mediterranean Sea,,,,,,,,,,,Algeria,,"Castiglione,",,,,,,,,,,,,,,,,,,,,,,,,,,,H.Boswell,,Grace G. Edison,25-Oct-91,,,,,"Grace G. Edison, MD Collection."
186,9947,277835,Coralliophilidae,Babelomurex,,amaliae,,,Kobelt,1907,1,,,,Mediterranean Sea,,,,,,,,,,,Algeria,,"Cherchel,",,,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,Mrs. Peter R. Fleischner,10-Dec-93,Collected with Scuba at 60-70 meters on coral.,,,,Mrs. Peter R. Fleischner Collection.
178,210310,318157,Cerithiidae,Cerithium,,vulgatum,,,(Bruguiere,1792),6,,,,,,,,,,,,,,,Algeria,,Mediterranean Sea,Oran,,,,,,,,,,,,,,,,,,,,,,,,,,William Beebe,,Germer,1999,,,,,Germer Collection
168,10310,311548,Muricidae,Bolinus,,brandaris,,,(Linne,1758),3,,,,,,,,,,,,,,,Algeria,,"Oran,","Mediterranean Sea,",,,,,,,,,,,,,,,,,,,,,,,,,,William Beebe,,Germer,8-Oct-99,,,,,Germer Collection
169,10310,311601,Muricidae,Hexaplex,,trunculus,,,(Linne,1758),11,,,,,,,,,,,,,,,Algeria,,"Oran,","Mediterranean Sea,",,,,,,,,,,,,,,,,,,,,,,,,,,William Beebe,,Germer,8-Oct-99,,,,,Germer Collection
188,10319,309518,Muricidae,Hexaplex,,trunculus,,,(Linne,1758),1,,,,Mediterranean Sea,,,,,,,,,,,Algeria,,"Oran,",,,,,,,,,,,,,,,,,,,,,,,,,,,Weeks,,Raeihle,Sep-97,,,,,Raeihle Collection
179,210310,319120,Muricidae,Ocenebra,,erinacea,,,(Linne,1758),2,,,,,,,,,,,,,,,Algeria,,,Arian,,Shallow water,,,,,,,,,,,,,,,,,,,,,,,,William Beebe,,Germer,1999,,,,,Germer Collection
171,210310,317050,Pectinidae,Aequipecten,,audounii,,,(Payraudeau,1826),4,dredged,,,Mediterranean Sea,,,,,,,,,,,Algeria,,,off Oran,,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,Germer,1999,,,,,Germer Collection
176,210310,318005,Cancellariidae,Cancellaria,,cancellata,,,(Linne,1767),3,,,,Mediterranean Sea,,,,,,,,,,,Algeria,,,Off Oran,,,,,,,,,,,,,,,,,,,,,,,,,,William Beebe,,Germer,1999,,,,,Germer Collection
